2016-05-19 13:46:56,882 [main] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-05-19 13:47:02,472 [main] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: egovAll:egov-all:1.0.0 @ D:\eGovFrameDev-3.5.1-64bit\workspace\egov-all\pom.xml.
2016-05-19 13:47:09,011 [main] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /egov-all/src/main/java
2016-05-19 13:47:09,011 [main] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /egov-all/src/main/resources
2016-05-19 13:47:09,024 [main] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /egov-all/src/test/java
2016-05-19 13:47:09,025 [main] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /egov-all/src/test/resources
2016-05-19 13:47:09,084 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: egovAll:egov-all:1.0.0 @ D:\eGovFrameDev-3.5.1-64bit\workspace\egov-all\pom.xml.
2016-05-19 13:47:11,071 [main] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: egovAll:egov-all:1.0.0 @ D:\eGovFrameDev-3.5.1-64bit\workspace\egov-all\pom.xml.
2016-05-19 13:47:11,628 [main] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for egov-all
2016-05-19 13:47:11,648 [main] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 14 sec
2016-05-19 13:47:12,798 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: egovAll:egov-all:1.0.0 @ D:\eGovFrameDev-3.5.1-64bit\workspace\egov-all\pom.xml.
